"customerkey","datefirstpurchase","fullname","gender","maritalstatus","city","country","stateprovincename"
11000,"2020-01-19","Jon V Yang","M","M","Rockhampton","Australia","Queensland"
11001,"2020-01-15","Eugene L Huang","M","S","Seaford","Australia","Victoria"
11002,"2020-01-07","Ruben Torres","M","M","Hobart","Australia","Tasmania"
11003,"2019-12-29","Christy Zhu","F","S","North Ryde","Australia","New South Wales"
11004,"2020-01-23","Elizabeth Johnson","F","S","Wollongong","Australia","New South Wales"
11005,"2019-12-30","Julio Ruiz","M","S","East Brisbane","Australia","Queensland"
11006,"2020-01-24","Janet G Alvarez","F","S","Matraville","Australia","New South Wales"
11007,"2020-01-09","Marco Mehta","M","M","Warrnambool","Australia","Victoria"
11008,"2020-01-25","Rob Verhoff","F","S","Bendigo","Australia","Victoria"
11009,"2020-01-27","Shannon C Carlson","M","S","Hervey Bay","Australia","Queensland"
11010,"2020-01-14","Jacquelyn C Suarez","F","S","East Brisbane","Australia","Queensland"
11011,"2019-12-30","Curtis Lu","M","M","East Brisbane","Australia","Queensland"
11012,"2022-03-16","Lauren M Walker","F","M","Bremerton","United States","Washington"
11013,"2022-04-13","Ian M Jenkins","M","M","Lebanon","United States","Oregon"
11014,"2022-03-23","Sydney Bennett","F","S","Redmond","United States","Washington"
11015,"2022-01-18","Chloe Young","F","S","Burbank","United States","California"
11016,"2022-02-09","Wyatt L Hill","M","M","Imperial Beach","United States","California"
11017,"2020-01-12","Shannon Wang","F","S","Sunbury","Australia","Victoria"
11018,"2020-01-17","Clarence D Rai","M","S","Bendigo","Australia","Victoria"
11019,"2022-02-12","Luke L Lal","M","S","Langley","Canada","British Columbia"
11020,"2021-12-29","Jordan C King","M","S","Metchosin","Canada","British Columbia"
11021,"2022-01-23","Destiny Wilson","F","S","Beaverton","United States","Oregon"
11022,"2022-01-20","Ethan G Zhang","M","M","Bellingham","United States","Washington"
11023,"2022-02-17","Seth M Edwards","M","M","Bellflower","United States","California"
11024,"2022-06-27","Russell Xie","M","M","Concord","United States","California"
11025,"2020-01-06","Alejandro Beck","M","M","Hawthorne","Australia","Queensland"
11026,"2020-01-23","Harold Sai","M","S","Goulburn","Australia","New South Wales"
11027,"2020-01-16","Jessie R Zhao","M","M","Warrnambool","Australia","Victoria"
11028,"2020-01-26","Jill Jimenez","F","M","St. Leonards","Australia","New South Wales"
11029,"2020-01-19","Jimmy L Moreno","M","M","Bendigo","Australia","Victoria"
11030,"2020-02-05","Bethany G Yuan","F","M","Cloverdale","Australia","South Australia"
11031,"2020-02-01","Theresa G Ramos","F","M","Matraville","Australia","New South Wales"
11032,"2020-02-18","Denise Stone","F","M","Melbourne","Australia","Victoria"
11033,"2020-02-15","Jaime Nath","M","M","Milsons Point","Australia","New South Wales"
11034,"2020-02-01","Ebony Gonzalez","F","M","North Sydney","Australia","New South Wales"
